,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3740304995247417,,Intercept,312.6907205986843,313.0,0.30927940131567766,313.0
1,1,grade:A,1.1236638666614067,3.226778411862538e-35,grade,86.69296714530225,87.0,0.3070328546977521,87.0
2,2,grade:B,0.8789172782221322,4.279717956293385e-47,grade,67.81026691793578,68.0,0.18973308206422246,68.0
3,3,grade:C,0.6847954068772639,6.713865565080961e-34,grade,52.83336722934203,53.0,0.16663277065796933,53.0
4,4,grade:D,0.4969226054674144,1.3470722041137395e-20,grade,38.338596076370706,38.0,-0.3385960763707061,38.0
5,5,grade:E,0.3214914301921163,1.0255425844922946e-11,grade,24.8037218442833,25.0,0.19627815571670126,25.0
6,6,grade:F,0.1342831804079598,0.0062421077716649405,grade,10.36022220938947,10.0,-0.3602222093894696,10.0
7,7,home_ownership:OWN,0.09351546278202658,3.4613239055106245e-06,home_ownership,7.2149093541893565,7.0,-0.21490935418935653,7.0
8,8,home_ownership:MORTGAGE,0.10624839533076,4.422277996444912e-17,home_ownership,8.19728116115191,8.0,-0.19728116115190986,8.0
9,9,addr_state:NM_VA,0.0360182008551609,0.26085767562225903,addr_state,2.7788779153741983,3.0,0.22112208462580174,3.0
10,10,addr_state:NY,0.05555642296871121,0.021830122056946046,addr_state,4.286291740827425,4.0,-0.2862917408274246,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057995769477260144,0.012258709092474425,addr_state,4.474492316636599,4.0,-0.4744923166365993,4.0
12,12,addr_state:CA,0.062150380858193494,0.0033754643941803445,addr_state,4.7950290880279365,5.0,0.20497091197206352,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645867937835155,0.0021488297425125025,addr_state,5.898943604028847,6.0,0.10105639597115257,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13344123418525655,3.1497789463963897e-09,addr_state,10.295264335074448,10.0,-0.2952643350744477,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789456949629266,0.001033188276658604,addr_state,7.5527664000278145,8.0,0.4472335999721855,8.0
16,16,addr_state:GA_WA_OR,0.1837620200062642,5.573701981141666e-12,addr_state,14.177615954040357,14.0,-0.17761595404035724,14.0
17,17,addr_state:WI_MT,0.23790809525424525,5.630503442498642e-07,addr_state,18.355096481617693,18.0,-0.3550964816176929,18.0
18,18,addr_state:TX,0.22095899754446072,1.83687157646549e-17,addr_state,17.047438903143977,17.0,-0.04743890314397703,17.0
19,19,addr_state:IL_CT,0.2599002460845568,5.67625052601744e-19,addr_state,20.051835930089464,20.0,-0.051835930089463744,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.31856316886429453,5.1206780256311975e-25,addr_state,24.57780048949241,25.0,0.4221995105075891,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.521965524727331,1.0715448198111996e-22,addr_state,40.27070855327445,40.0,-0.27070855327445287,40.0
22,22,verification_status:Not Verified,0.08571834929823985,4.378242309631452e-09,verification_status,6.613346090358073,7.0,0.38665390964192703,7.0
23,23,verification_status:Source Verified,-0.011185369813304941,0.4049389545356772,verification_status,-0.8629741744869136,-1.0,-0.1370258255130864,-1.0
24,24,purpose:credit_card,0.30185757598048213,1.2538169951754479e-26,purpose,23.288929806730174,23.0,-0.28892980673017377,23.0
25,25,purpose:debt_consolidation,0.19808699357896387,2.5021153151451267e-14,purpose,15.282816984474122,15.0,-0.2828169844741222,15.0
26,26,purpose:oth__med__vacation,0.2128248383331109,7.729122938842679e-12,purpose,16.41987187159085,16.0,-0.4198718715908498,16.0
27,27,purpose:major_purch__car__home_impr,0.26626238462033675,1.4731955275221293e-17,purpose,20.542687939681077,21.0,0.45731206031892313,21.0
28,28,initial_list_status:w,0.05382675701390739,3.7393772424760505e-05,initial_list_status,4.15284447226153,4.0,-0.1528444722615303,4.0
29,29,term:36,0.07894245978908572,1.6307939117725622e-08,term,6.090572346335649,6.0,-0.09057234633564892,6.0
30,30,emp_length:1,0.099157507593489,0.00013145433485714714,emp_length,7.650204659115116,8.0,0.3497953408848842,8.0
31,31,emp_length:2-4,0.12585307386834105,2.5953205907207516e-11,emp_length,9.709822235737217,10.0,0.29017776426278274,10.0
32,32,emp_length:5-6,0.0910923179352749,2.0814519803019778e-05,emp_length,7.027958769748207,7.0,-0.027958769748207324,7.0
33,33,emp_length:7-9,0.06114382323564877,0.0032865888935082145,emp_length,4.717371107300665,5.0,0.2826288926993348,5.0
34,34,emp_length:10,0.12504305468840202,1.1793413616986934e-11,emp_length,9.647327598117373,10.0,0.35267240188262683,10.0
35,35,mths_since_issue_d:<38,1.084208139776651,4.7441787401019444e-181,mths_since_issue_d,83.64887706106992,84.0,0.3511229389300752,84.0
36,36,mths_since_issue_d:38-39,0.8791955921716478,1.0284668601283637e-149,mths_since_issue_d,67.83173940877337,68.0,0.16826059122662684,68.0
37,37,mths_since_issue_d:40-41,0.7782541751916766,5.6481834151058214e-124,mths_since_issue_d,60.04390248931692,60.0,-0.04390248931692042,60.0
38,38,mths_since_issue_d:42-48,0.5771640439445236,1.0827567387741609e-87,mths_since_issue_d,44.5293872871412,45.0,0.47061271285880224,45.0
39,39,mths_since_issue_d:49-52,0.41569011164749914,8.251546023481568e-41,mths_since_issue_d,32.07134291748371,32.0,-0.07134291748371169,32.0
40,40,mths_since_issue_d:53-64,0.16993862461029288,5.947578858485453e-09,mths_since_issue_d,13.111112706534422,13.0,-0.1111127065344224,13.0
41,41,mths_since_issue_d:65-84,-0.07178611269489037,0.014074927272589275,mths_since_issue_d,-5.538445520934754,-6.0,-0.4615544790652457,-6.0
42,42,int_rate:<9.548,0.8831436974437684,3.5848662231130106e-31,int_rate,68.13634381120833,68.0,-0.1363438112083344,68.0
43,43,int_rate:9.548-12.025,0.558665959857804,5.9271385178852376e-36,int_rate,43.1022222393358,43.0,-0.1022222393358021,43.0
44,44,int_rate:12.025-15.74,0.306132630683809,7.241997935325226e-17,int_rate,23.61875902695869,24.0,0.38124097304131155,24.0
45,45,int_rate:15.74-20.281,0.1131703078098963,9.359248888119061e-05,int_rate,8.73132087617751,9.0,0.2686791238224906,9.0
46,46,mths_since_earliest_cr_line:141-164,0.05577152540892296,0.02497911177523482,mths_since_earliest_cr_line,4.30288733434558,4.0,-0.3028873343455798,4.0
47,47,mths_since_earliest_cr_line:165-247,0.03716275012013736,0.0642424234945729,mths_since_earliest_cr_line,2.8671822337462003,3.0,0.1328177662537997,3.0
48,48,mths_since_earliest_cr_line:248-270,0.07948014952351266,0.0024537065487547005,mths_since_earliest_cr_line,6.1320562098504015,6.0,-0.13205620985040145,6.0
49,49,mths_since_earliest_cr_line:271-352,0.12204235187366877,1.891997221831327e-07,mths_since_earliest_cr_line,9.41581723434337,9.0,-0.41581723434337015,9.0
50,50,mths_since_earliest_cr_line:>352,0.1293610127193726,1.0692001661621217e-06,mths_since_earliest_cr_line,9.980466897884964,10.0,0.01953310211503556,10.0
51,51,inq_last_6mths:0,0.6662632961636413,3.528129823644117e-14,inq_last_6mths,51.403576957627884,51.0,-0.4035769576278838,51.0
52,52,inq_last_6mths:1-2,0.519758144341501,3.2481217184661176e-09,inq_last_6mths,40.1004046386042,40.0,-0.10040463860420346,40.0
53,53,inq_last_6mths:3-6,0.3095390133782071,0.00046080806468651265,inq_last_6mths,23.881568423764506,24.0,0.11843157623549416,24.0
54,54,acc_now_delinq:>=1,0.18036578335349912,0.08867777187188654,acc_now_delinq,13.915589345112693,14.0,0.08441065488730715,14.0
55,55,annual_inc:20K-30K,-0.08151826387153657,0.053002583527505705,annual_inc,-6.28930090326266,-6.0,0.2893009032626601,-6.0
56,56,annual_inc:30K-40K,-0.01892127025124076,0.6402284680594679,annual_inc,-1.4598147265444494,-1.0,0.45981472654444944,-1.0
57,57,annual_inc:40K-50K,0.07568079465153969,0.061209378278487866,annual_inc,5.838928205238193,6.0,0.16107179476180722,6.0
58,58,annual_inc:50K-60K,0.14254837148297878,0.0004994022121000554,annual_inc,10.99789861741103,11.0,0.002101382588969969,11.0
59,59,annual_inc:60K-70K,0.21809668038811367,1.908719609417101e-07,annual_inc,16.826605276152033,17.0,0.1733947238479665,17.0
60,60,annual_inc:70K-80K,0.29154737402090025,8.743360111638667e-12,annual_inc,22.493476623387046,22.0,-0.49347662338704623,22.0
61,61,annual_inc:80K-90K,0.36739222896138507,1.4587161982343175e-16,annual_inc,28.345062415703865,28.0,-0.34506241570386464,28.0
62,62,annual_inc:90K-100K,0.3871988247368221,4.205561377160244e-17,annual_inc,29.873181818459077,30.0,0.12681818154092284,30.0
63,63,annual_inc:100K-120K,0.465102476252094,2.3206946442911713e-24,annual_inc,35.88360798031378,36.0,0.11639201968621649,36.0
64,64,annual_inc:120K-140K,0.5523779872309202,1.8583067004681704e-26,annual_inc,42.617092281412845,43.0,0.38290771858715544,42.0
65,65,annual_inc:>140K,0.49154610481698374,4.984203344151571e-25,annual_inc,37.923788046964766,38.0,0.07621195303523365,38.0
66,66,dti:<=1.4,0.2524605452222365,0.0024575092890372742,dti,19.477847781530123,19.0,-0.477847781530123,19.0
67,67,dti:1.4-3.5,0.37154025804032115,1.100359663154615e-07,dti,28.66509134902394,29.0,0.33490865097606104,29.0
68,68,dti:3.5-7.7,0.3844494627798969,1.7595626890184359e-10,dti,29.661062916290906,30.0,0.33893708370909437,30.0
69,69,dti:7.7-10.5,0.3197160441235434,9.324613476282351e-08,dti,24.66674717536356,25.0,0.333252824636439,25.0
70,70,dti:10.5-16.1,0.24114588558229655,3.080149601990436e-05,dti,18.60489863229743,19.0,0.3951013677025692,19.0
71,71,dti:16.1-20.3,0.13984138539153695,0.015814307873937047,dti,10.789049099996701,11.0,0.21095090000329897,11.0
72,72,dti:20.3-21.7,0.12746069816860428,0.03561402312353645,dti,9.833853740869444,10.0,0.16614625913055647,10.0
73,73,dti:21.7-22.4,0.0920330353243909,0.1551075556166693,dti,7.100537041709516,7.0,-0.10053704170951594,7.0
74,74,dti:22.4-35,0.050268410484980874,0.38010236821627663,dti,3.8783107545934676,4.0,0.12168924540653236,4.0
75,75,mths_since_last_delinq:Missing,0.11041350305272839,0.03459420228716151,mths_since_last_delinq,8.518627746737238,9.0,0.48137225326276223,9.0
76,76,mths_since_last_delinq:4-30,0.13695209661925264,0.009474537461500815,mths_since_last_delinq,10.566134557631683,11.0,0.43386544236831703,11.0
77,77,mths_since_last_delinq:31-56,0.18309234537971367,0.000615519335255573,mths_since_last_delinq,14.125949185961321,14.0,-0.12594918596132132,14.0
78,78,mths_since_last_delinq:>=57,0.13610250919359637,0.012899279860453519,mths_since_last_delinq,10.500587148869382,11.0,0.49941285113061795,11.0
79,79,mths_since_last_record:Missing,0.3208735741124786,7.950491431406946e-05,mths_since_last_record,24.75605298315697,25.0,0.24394701684303044,25.0
80,80,mths_since_last_record:3-20,0.440624364153675,0.0003347167270032076,mths_since_last_record,33.995071531925255,34.0,0.004928468074744785,34.0
81,81,mths_since_last_record:21-31,0.3507085143010925,0.0018325349786951562,mths_since_last_record,27.057879682664918,27.0,-0.057879682664918164,27.0
82,82,mths_since_last_record:32-80,0.5029529452570429,3.965216245121965e-09,mths_since_last_record,38.80384913359552,39.0,0.19615086640447998,39.0
83,83,mths_since_last_record:81-86,0.1758385431509606,0.08604749304101264,mths_since_last_record,13.566303497465311,14.0,0.43369650253468883,14.0
84,84,mths_since_last_record:>86,0.23270435055268088,0.005710974884935224,mths_since_last_record,17.953616927250927,18.0,0.04638307274907305,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
